	<yagoTheme_yagoWordnetIds>	<hasGloss>	"This file is part of the ontology YAGO3. It is licensed under a Creative-Commons Attribution License by the YAGO team at the Max Planck Institute for Informatics/Germany. See http://yago-knowledge.org for all details. This file was generated on 2017-10-11 T 23:50:16.0962. Mappings of the WordNet-based YAGO classes to the ids of WordNet LINK"	
	<wordnet_regularity_104767347>	<hasSynsetId>	"104767347"	
	<wordnet_cyclicity_104767805>	<hasSynsetId>	"104767805"	
	<wordnet_rhythm_104768028>	<hasSynsetId>	"104768028"	
	<wordnet_cardiac_rhythm_104768186>	<hasSynsetId>	"104768186"	
	<wordnet_atrioventricular_nodal_rhythm_104768309>	<hasSynsetId>	"104768309"	
	<wordnet_orderliness_104768483>	<hasSynsetId>	"104768483"	
	<wordnet_organization_104768657>	<hasSynsetId>	"104768657"	
	<wordnet_uniformity_104769049>	<hasSynsetId>	"104769049"	
	<wordnet_homogeneity_104769234>	<hasSynsetId>	"104769234"	
	<wordnet_inhomogeneity_104769362>	<hasSynsetId>	"104769362"	
	<wordnet_evenness_104769456>	<hasSynsetId>	"104769456"	
	<wordnet_smoothness_104769716>	<hasSynsetId>	"104769716"	
	<wordnet_even_spacing_104769988>	<hasSynsetId>	"104769988"	
	<wordnet_steadiness_104770068>	<hasSynsetId>	"104770068"	
	<wordnet_irregularity_104770211>	<hasSynsetId>	"104770211"	
	<wordnet_fitfulness_104770535>	<hasSynsetId>	"104770535"	
	<wordnet_intermittence_104770720>	<hasSynsetId>	"104770720"	
	<wordnet_fluctuation_104770911>	<hasSynsetId>	"104770911"	
	<wordnet_scintillation_104771128>	<hasSynsetId>	"104771128"	
	<wordnet_randomness_104771332>	<hasSynsetId>	"104771332"	
	<wordnet_ergodicity_104771535>	<hasSynsetId>	"104771535"	
	<wordnet_spasticity_104771738>	<hasSynsetId>	"104771738"	
	<wordnet_unevenness_104771890>	<hasSynsetId>	"104771890"	
	<wordnet_rockiness_104772191>	<hasSynsetId>	"104772191"	
	<wordnet_ruggedness_104772388>	<hasSynsetId>	"104772388"	
	<wordnet_hilliness_104772557>	<hasSynsetId>	"104772557"	
	<wordnet_jaggedness_104772691>	<hasSynsetId>	"104772691"	
	<wordnet_patchiness_104772844>	<hasSynsetId>	"104772844"	
	<wordnet_waviness_104772955>	<hasSynsetId>	"104772955"	
	<wordnet_personal_equation_104773068>	<hasSynsetId>	"104773068"	
	<wordnet_unsteadiness_104773182>	<hasSynsetId>	"104773182"	
	<wordnet_mobility_104773351>	<hasSynsetId>	"104773351"	
	<wordnet_locomotion_104773596>	<hasSynsetId>	"104773596"	
	<wordnet_motility_104773761>	<hasSynsetId>	"104773761"	
	<wordnet_movability_104773899>	<hasSynsetId>	"104773899"	
	<wordnet_maneuverability_104774198>	<hasSynsetId>	"104774198"	
	<wordnet_manipulability_104774365>	<hasSynsetId>	"104774365"	
	<wordnet_looseness_104774511>	<hasSynsetId>	"104774511"	
	<wordnet_restlessness_104774743>	<hasSynsetId>	"104774743"	
	<wordnet_weatherliness_104774901>	<hasSynsetId>	"104774901"	
	<wordnet_wiggliness_104775185>	<hasSynsetId>	"104775185"	
	<wordnet_slack_104775357>	<hasSynsetId>	"104775357"	
	<wordnet_unsteadiness_104775562>	<hasSynsetId>	"104775562"	
	<wordnet_instability_104775747>	<hasSynsetId>	"104775747"	
	<wordnet_shakiness_104776021>	<hasSynsetId>	"104776021"	
	<wordnet_portability_104776176>	<hasSynsetId>	"104776176"	
	<wordnet_immobility_104776299>	<hasSynsetId>	"104776299"	
	<wordnet_immotility_104776453>	<hasSynsetId>	"104776453"	
	<wordnet_inertness_104776572>	<hasSynsetId>	"104776572"	
	<wordnet_immovability_104776699>	<hasSynsetId>	"104776699"	
	<wordnet_tightness_104776940>	<hasSynsetId>	"104776940"	
	<wordnet_fastness_104777098>	<hasSynsetId>	"104777098"	
	<wordnet_looseness_104777421>	<hasSynsetId>	"104777421"	
	<wordnet_lodgment_104777634>	<hasSynsetId>	"104777634"	
	<wordnet_steadiness_104777852>	<hasSynsetId>	"104777852"	
	<wordnet_granite_104778114>	<hasSynsetId>	"104778114"	
	<wordnet_sureness_104778267>	<hasSynsetId>	"104778267"	
	<wordnet_stability_104778401>	<hasSynsetId>	"104778401"	
	<wordnet_pleasantness_104778630>	<hasSynsetId>	"104778630"	
	<wordnet_agreeableness_104779053>	<hasSynsetId>	"104779053"	
	<wordnet_enjoyableness_104779336>	<hasSynsetId>	"104779336"	
	<wordnet_niceness_104779521>	<hasSynsetId>	"104779521"	
	<wordnet_unpleasantness_104779649>	<hasSynsetId>	"104779649"	
	<wordnet_disagreeableness_104779895>	<hasSynsetId>	"104779895"	
	<wordnet_abrasiveness_104780114>	<hasSynsetId>	"104780114"	
	<wordnet_acridity_104780232>	<hasSynsetId>	"104780232"	
	<wordnet_unpalatability_104780396>	<hasSynsetId>	"104780396"	
	<wordnet_disgustingness_104780605>	<hasSynsetId>	"104780605"	
	<wordnet_nastiness_104780755>	<hasSynsetId>	"104780755"	
	<wordnet_offensiveness_104780958>	<hasSynsetId>	"104780958"	
	<wordnet_loathsomeness_104781349>	<hasSynsetId>	"104781349"	
	<wordnet_hatefulness_104781755>	<hasSynsetId>	"104781755"	
	<wordnet_beastliness_104781967>	<hasSynsetId>	"104781967"	
	<wordnet_awfulness_104782116>	<hasSynsetId>	"104782116"	
	<wordnet_frightfulness_104782466>	<hasSynsetId>	"104782466"	
	<wordnet_ghastliness_104782610>	<hasSynsetId>	"104782610"	
	<wordnet_credibility_104782878>	<hasSynsetId>	"104782878"	
	<wordnet_authenticity_104783247>	<hasSynsetId>	"104783247"	
	<wordnet_real_McCoy_104783445>	<hasSynsetId>	"104783445"	
	<wordnet_cogency_104783567>	<hasSynsetId>	"104783567"	
	<wordnet_plausibility_104783724>	<hasSynsetId>	"104783724"	
	<wordnet_reasonableness_104783888>	<hasSynsetId>	"104783888"	
	<wordnet_incredibility_104784142>	<hasSynsetId>	"104784142"	
	<wordnet_implausibility_104784322>	<hasSynsetId>	"104784322"	
	<wordnet_street_credibility_104784525>	<hasSynsetId>	"104784525"	
	<wordnet_logicality_104784664>	<hasSynsetId>	"104784664"	
	<wordnet_rationality_104784978>	<hasSynsetId>	"104784978"	
	<wordnet_consistency_104785195>	<hasSynsetId>	"104785195"	
	<wordnet_completeness_104785414>	<hasSynsetId>	"104785414"	
	<wordnet_illogicality_104785669>	<hasSynsetId>	"104785669"	
	<wordnet_naturalness_104785908>	<hasSynsetId>	"104785908"	
	<wordnet_unaffectedness_104786326>	<hasSynsetId>	"104786326"	
	<wordnet_simplicity_104786490>	<hasSynsetId>	"104786490"	
	<wordnet_sincerity_104786595>	<hasSynsetId>	"104786595"	
	<wordnet_spontaneity_104786763>	<hasSynsetId>	"104786763"	
	<wordnet_ease_104786994>	<hasSynsetId>	"104786994"	
	<wordnet_unpretentiousness_104787154>	<hasSynsetId>	"104787154"	
	<wordnet_naturalization_104787324>	<hasSynsetId>	"104787324"	
	<wordnet_unnaturalness_104787530>	<hasSynsetId>	"104787530"	
	<wordnet_affectedness_104787763>	<hasSynsetId>	"104787763"	
	<wordnet_airs_104788011>	<hasSynsetId>	"104788011"	
	<wordnet_coyness_104788159>	<hasSynsetId>	"104788159"	
	<wordnet_preciosity_104788332>	<hasSynsetId>	"104788332"	
	<wordnet_artificiality_104788494>	<hasSynsetId>	"104788494"	
	<wordnet_staginess_104788693>	<hasSynsetId>	"104788693"	
	<wordnet_pretension_104788853>	<hasSynsetId>	"104788853"	
	<wordnet_pretentiousness_104788982>	<hasSynsetId>	"104788982"	
	<wordnet_ostentation_104789274>	<hasSynsetId>	"104789274"	
	<wordnet_supernaturalism_104789406>	<hasSynsetId>	"104789406"	
	<wordnet_virtu_104789613>	<hasSynsetId>	"104789613"	
	<wordnet_wholesomeness_104789689>	<hasSynsetId>	"104789689"	
	<wordnet_nutritiousness_104789897>	<hasSynsetId>	"104789897"	
	<wordnet_healthfulness_104790070>	<hasSynsetId>	"104790070"	
	<wordnet_salubrity_104790238>	<hasSynsetId>	"104790238"	
	<wordnet_unwholesomeness_104790449>	<hasSynsetId>	"104790449"	
	<wordnet_harmfulness_104790774>	<hasSynsetId>	"104790774"	
	<wordnet_perniciousness_104790942>	<hasSynsetId>	"104790942"	
	<wordnet_deadliness_104791081>	<hasSynsetId>	"104791081"	
	<wordnet_fatality_104791321>	<hasSynsetId>	"104791321"	
	<wordnet_jejunity_104791453>	<hasSynsetId>	"104791453"	
	<wordnet_putrescence_104791591>	<hasSynsetId>	"104791591"	
	<wordnet_unhealthfulness_104791740>	<hasSynsetId>	"104791740"	
	<wordnet_insalubrity_104791928>	<hasSynsetId>	"104791928"	
	<wordnet_satisfactoriness_104792127>	<hasSynsetId>	"104792127"	
	<wordnet_adequacy_104792357>	<hasSynsetId>	"104792357"	
	<wordnet_acceptability_104792679>	<hasSynsetId>	"104792679"	
	<wordnet_admissibility_104793016>	<hasSynsetId>	"104793016"	
	<wordnet_permissibility_104793209>	<hasSynsetId>	"104793209"	
	<wordnet_unsatisfactoriness_104793355>	<hasSynsetId>	"104793355"	
	<wordnet_inadequacy_104793555>	<hasSynsetId>	"104793555"	
	<wordnet_perishability_104793731>	<hasSynsetId>	"104793731"	
	<wordnet_unacceptability_104793925>	<hasSynsetId>	"104793925"	
	<wordnet_inadmissibility_104794236>	<hasSynsetId>	"104794236"	
	<wordnet_impermissibility_104794408>	<hasSynsetId>	"104794408"	
	<wordnet_palatability_104794580>	<hasSynsetId>	"104794580"	
	<wordnet_ordinariness_104794751>	<hasSynsetId>	"104794751"	
	<wordnet_averageness_104795061>	<hasSynsetId>	"104795061"	
	<wordnet_expectedness_104795252>	<hasSynsetId>	"104795252"	
	<wordnet_normality_104795413>	<hasSynsetId>	"104795413"	
	<wordnet_commonness_104795545>	<hasSynsetId>	"104795545"	
	<wordnet_prosiness_104795878>	<hasSynsetId>	"104795878"	
	<wordnet_usualness_104796086>	<hasSynsetId>	"104796086"	
	<wordnet_familiarity_104796291>	<hasSynsetId>	"104796291"	
	<wordnet_extraordinariness_104796490>	<hasSynsetId>	"104796490"	
	<wordnet_unexpectedness_104796725>	<hasSynsetId>	"104796725"	
	<wordnet_uncommonness_104796946>	<hasSynsetId>	"104796946"	
	<wordnet_uncommonness_104797130>	<hasSynsetId>	"104797130"	
	<wordnet_unusualness_104797295>	<hasSynsetId>	"104797295"	
	<wordnet_unfamiliarity_104797482>	<hasSynsetId>	"104797482"	
	<wordnet_oddity_104797824>	<hasSynsetId>	"104797824"	
	<wordnet_eeriness_104798020>	<hasSynsetId>	"104798020"	
	<wordnet_abnormality_104798185>	<hasSynsetId>	"104798185"	
	<wordnet_singularity_104798365>	<hasSynsetId>	"104798365"	
	<wordnet_outlandishness_104798511>	<hasSynsetId>	"104798511"	
	<wordnet_quaintness_104798700>	<hasSynsetId>	"104798700"	
	<wordnet_eccentricity_104798881>	<hasSynsetId>	"104798881"	
	<wordnet_oddity_104799011>	<hasSynsetId>	"104799011"	
	<wordnet_ethnicity_104799133>	<hasSynsetId>	"104799133"	
	<wordnet_foreignness_104799344>	<hasSynsetId>	"104799344"	
	<wordnet_exoticism_104799612>	<hasSynsetId>	"104799612"	
	<wordnet_alienage_104799789>	<hasSynsetId>	"104799789"	
	<wordnet_nativeness_104799881>	<hasSynsetId>	"104799881"	
	<wordnet_indigenousness_104800152>	<hasSynsetId>	"104800152"	
	<wordnet_originality_104800359>	<hasSynsetId>	"104800359"	
	<wordnet_freshness_104800596>	<hasSynsetId>	"104800596"	
	<wordnet_unorthodoxy_104800729>	<hasSynsetId>	"104800729"	
	<wordnet_unconventionality_104800885>	<hasSynsetId>	"104800885"	
	<wordnet_nonconformity_104801030>	<hasSynsetId>	"104801030"	
	<wordnet_unoriginality_104801168>	<hasSynsetId>	"104801168"	
	<wordnet_orthodoxy_104801313>	<hasSynsetId>	"104801313"	
	<wordnet_conventionality_104801532>	<hasSynsetId>	"104801532"	
	<wordnet_ossification_104801763>	<hasSynsetId>	"104801763"	
	<wordnet_traditionalism_104801877>	<hasSynsetId>	"104801877"	
	<wordnet_scholasticism_104802079>	<hasSynsetId>	"104802079"	
	<wordnet_correctness_104802198>	<hasSynsetId>	"104802198"	
	<wordnet_incorrectness_104802403>	<hasSynsetId>	"104802403"	
	<wordnet_erroneousness_104802629>	<hasSynsetId>	"104802629"	
	<wordnet_deviation_104802776>	<hasSynsetId>	"104802776"	
	<wordnet_accuracy_104802907>	<hasSynsetId>	"104802907"	
	<wordnet_accuracy_104803209>	<hasSynsetId>	"104803209"	
	<wordnet_exactness_104803430>	<hasSynsetId>	"104803430"	
	<wordnet_minuteness_104803702>	<hasSynsetId>	"104803702"	
	<wordnet_preciseness_104803880>	<hasSynsetId>	"104803880"	
	<wordnet_trueness_104804169>	<hasSynsetId>	"104804169"	
	<wordnet_fidelity_104804306>	<hasSynsetId>	"104804306"	
	<wordnet_inaccuracy_104804451>	<hasSynsetId>	"104804451"	
	<wordnet_inexactness_104804611>	<hasSynsetId>	"104804611"	
	<wordnet_impreciseness_104804787>	<hasSynsetId>	"104804787"	
	<wordnet_looseness_104804947>	<hasSynsetId>	"104804947"	
	<wordnet_infallibility_104805136>	<hasSynsetId>	"104805136"	
	<wordnet_inerrancy_104805304>	<hasSynsetId>	"104805304"	
	<wordnet_errancy_104805472>	<hasSynsetId>	"104805472"	
	<wordnet_papal_infallibility_104805635>	<hasSynsetId>	"104805635"	
	<wordnet_errancy_104805813>	<hasSynsetId>	"104805813"	
	<wordnet_instability_104806067>	<hasSynsetId>	"104806067"	
	<wordnet_reproducibility_104806169>	<hasSynsetId>	"104806169"	
	<wordnet_irreproducibility_104806316>	<hasSynsetId>	"104806316"	
	<wordnet_fallibility_104806512>	<hasSynsetId>	"104806512"	
	<wordnet_distinction_104806655>	<hasSynsetId>	"104806655"	
	<wordnet_worthiness_104806804>	<hasSynsetId>	"104806804"	
	<wordnet_deservingness_104807050>	<hasSynsetId>	"104807050"	
	<wordnet_praiseworthiness_104807342>	<hasSynsetId>	"104807342"	
	<wordnet_quotability_104807489>	<hasSynsetId>	"104807489"	
	<wordnet_roadworthiness_104807626>	<hasSynsetId>	"104807626"	
	<wordnet_unworthiness_104807776>	<hasSynsetId>	"104807776"	
	<wordnet_baseness_104807971>	<hasSynsetId>	"104807971"	
	<wordnet_shamefulness_104808281>	<hasSynsetId>	"104808281"	
	<wordnet_scandalousness_104808516>	<hasSynsetId>	"104808516"	
	<wordnet_popularity_104808639>	<hasSynsetId>	"104808639"	
	<wordnet_hot_stuff_104808965>	<hasSynsetId>	"104808965"	
	<wordnet_unpopularity_104809089>	<hasSynsetId>	"104809089"	
	<wordnet_legality_104809237>	<hasSynsetId>	"104809237"	
	<wordnet_validity_104809453>	<hasSynsetId>	"104809453"	
	<wordnet_effect_104809642>	<hasSynsetId>	"104809642"	
	<wordnet_lawfulness_104809784>	<hasSynsetId>	"104809784"	
	<wordnet_legitimacy_104810035>	<hasSynsetId>	"104810035"	
	<wordnet_licitness_104810194>	<hasSynsetId>	"104810194"	
	<wordnet_illegality_104810327>	<hasSynsetId>	"104810327"	
	<wordnet_invalidity_104810510>	<hasSynsetId>	"104810510"	
	<wordnet_fallaciousness_104810727>	<hasSynsetId>	"104810727"	
	<wordnet_unlawfulness_104810865>	<hasSynsetId>	"104810865"	
	<wordnet_lawlessness_104811126>	<hasSynsetId>	"104811126"	
	<wordnet_infection_104811296>	<hasSynsetId>	"104811296"	
	<wordnet_illegitimacy_104811476>	<hasSynsetId>	"104811476"	
	<wordnet_illicitness_104811628>	<hasSynsetId>	"104811628"	
	<wordnet_shadiness_104811767>	<hasSynsetId>	"104811767"	
	<wordnet_refinement_104811995>	<hasSynsetId>	"104811995"	
	<wordnet_elegance_104812268>	<hasSynsetId>	"104812268"	
	<wordnet_elegance_104812636>	<hasSynsetId>	"104812636"	
	<wordnet_dash_104812871>	<hasSynsetId>	"104812871"	
	<wordnet_daintiness_104813066>	<hasSynsetId>	"104813066"	
	<wordnet_courtliness_104813283>	<hasSynsetId>	"104813283"	
	<wordnet_tastefulness_104813395>	<hasSynsetId>	"104813395"	
	<wordnet_breeding_104813540>	<hasSynsetId>	"104813540"	
	<wordnet_chic_104813712>	<hasSynsetId>	"104813712"	
	<wordnet_jauntiness_104814025>	<hasSynsetId>	"104814025"	
	<wordnet_magnificence_104814238>	<hasSynsetId>	"104814238"	
	<wordnet_eclat_104814872>	<hasSynsetId>	"104814872"	
	<wordnet_pomp_104815002>	<hasSynsetId>	"104815002"	
	<wordnet_class_104815177>	<hasSynsetId>	"104815177"	
	<wordnet_inelegance_104815321>	<hasSynsetId>	"104815321"	
	<wordnet_awkwardness_104815624>	<hasSynsetId>	"104815624"	
	<wordnet_woodenness_104815916>	<hasSynsetId>	"104815916"	
	<wordnet_rusticity_104816125>	<hasSynsetId>	"104816125"	
	<wordnet_urbanity_104816302>	<hasSynsetId>	"104816302"	
	<wordnet_dowdiness_104816528>	<hasSynsetId>	"104816528"	
	<wordnet_shabbiness_104816761>	<hasSynsetId>	"104816761"	
	<wordnet_tweediness_104817020>	<hasSynsetId>	"104817020"	
	<wordnet_raggedness_104817168>	<hasSynsetId>	"104817168"	
	<wordnet_coarseness_104817280>	<hasSynsetId>	"104817280"	
	<wordnet_crudeness_104817564>	<hasSynsetId>	"104817564"	
	<wordnet_boorishness_104817788>	<hasSynsetId>	"104817788"	
	<wordnet_ostentation_104817923>	<hasSynsetId>	"104817923"	
	<wordnet_tastelessness_104818284>	<hasSynsetId>	"104818284"	
	<wordnet_cheapness_104818460>	<hasSynsetId>	"104818460"	
	<wordnet_flashiness_104818700>	<hasSynsetId>	"104818700"	
	<wordnet_comprehensibility_104819026>	<hasSynsetId>	"104819026"	
	<wordnet_legibility_104819285>	<hasSynsetId>	"104819285"	
	<wordnet_intelligibility_104819496>	<hasSynsetId>	"104819496"	
	<wordnet_expressiveness_104819694>	<hasSynsetId>	"104819694"	
	<wordnet_picturesqueness_104819822>	<hasSynsetId>	"104819822"	
	<wordnet_readability_104819953>	<hasSynsetId>	"104819953"	
	<wordnet_speech_intelligibility_104820102>	<hasSynsetId>	"104820102"	
	<wordnet_clarity_104820258>	<hasSynsetId>	"104820258"	
	<wordnet_monosemy_104820908>	<hasSynsetId>	"104820908"	
	<wordnet_focus_104821084>	<hasSynsetId>	"104821084"	
	<wordnet_coherence_104821277>	<hasSynsetId>	"104821277"	
	<wordnet_preciseness_104821451>	<hasSynsetId>	"104821451"	
	<wordnet_perspicuity_104821615>	<hasSynsetId>	"104821615"	
	<wordnet_unambiguity_104821802>	<hasSynsetId>	"104821802"	
	<wordnet_explicitness_104822032>	<hasSynsetId>	"104822032"	
	<wordnet_incomprehensibility_104822223>	<hasSynsetId>	"104822223"	
	<wordnet_inscrutability_104822524>	<hasSynsetId>	"104822524"	
	<wordnet_illegibility_104822685>	<hasSynsetId>	"104822685"	
	<wordnet_impenetrability_104822870>	<hasSynsetId>	"104822870"	
	<wordnet_noise_104823031>	<hasSynsetId>	"104823031"	
	<wordnet_opacity_104823258>	<hasSynsetId>	"104823258"	
	<wordnet_obscureness_104823416>	<hasSynsetId>	"104823416"	
	<wordnet_unintelligibility_104823706>	<hasSynsetId>	"104823706"	
	<wordnet_unclearness_104823866>	<hasSynsetId>	"104823866"	
	<wordnet_elusiveness_104824118>	<hasSynsetId>	"104824118"	
	<wordnet_vagueness_104824350>	<hasSynsetId>	"104824350"	
	<wordnet_haziness_104824695>	<hasSynsetId>	"104824695"	
	<wordnet_inexplicitness_104824819>	<hasSynsetId>	"104824819"	
	<wordnet_implicitness_104824977>	<hasSynsetId>	"104824977"	
	<wordnet_ambiguity_104825114>	<hasSynsetId>	"104825114"	
	<wordnet_equivocation_104825383>	<hasSynsetId>	"104825383"	
	<wordnet_polysemy_104825576>	<hasSynsetId>	"104825576"	
	<wordnet_twilight_zone_104825815>	<hasSynsetId>	"104825815"	
	<wordnet_righteousness_104826235>	<hasSynsetId>	"104826235"	
	<wordnet_impeccability_104826485>	<hasSynsetId>	"104826485"	
	<wordnet_uprightness_104826623>	<hasSynsetId>	"104826623"	
	<wordnet_piety_104826771>	<hasSynsetId>	"104826771"	
	<wordnet_devoutness_104826999>	<hasSynsetId>	"104826999"	
	<wordnet_religiosity_104827175>	<hasSynsetId>	"104827175"	
	<wordnet_dutifulness_104827392>	<hasSynsetId>	"104827392"	
	<wordnet_godliness_104827503>	<hasSynsetId>	"104827503"	
	<wordnet_unrighteousness_104827652>	<hasSynsetId>	"104827652"	
	<wordnet_sin_104827957>	<hasSynsetId>	"104827957"	
	<wordnet_mark_of_Cain_104828126>	<hasSynsetId>	"104828126"	
	<wordnet_impiety_104828255>	<hasSynsetId>	"104828255"	
	<wordnet_undutifulness_104828485>	<hasSynsetId>	"104828485"	
	<wordnet_irreligiousness_104828612>	<hasSynsetId>	"104828612"	
	<wordnet_ungodliness_104828754>	<hasSynsetId>	"104828754"	
	<wordnet_humaneness_104828925>	<hasSynsetId>	"104828925"	
	<wordnet_humanity_104829182>	<hasSynsetId>	"104829182"	
	<wordnet_mercifulness_104829282>	<hasSynsetId>	"104829282"	
	<wordnet_compassion_104829550>	<hasSynsetId>	"104829550"	
	<wordnet_forgivingness_104829764>	<hasSynsetId>	"104829764"	
	<wordnet_lenience_104829922>	<hasSynsetId>	"104829922"	
	<wordnet_inhumaneness_104830102>	<hasSynsetId>	"104830102"	
	<wordnet_atrocity_104830343>	<hasSynsetId>	"104830343"	
	<wordnet_bestiality_104830578>	<hasSynsetId>	"104830578"	
	<wordnet_ferociousness_104830689>	<hasSynsetId>	"104830689"	
	<wordnet_murderousness_104830904>	<hasSynsetId>	"104830904"	
	<wordnet_mercilessness_104831031>	<hasSynsetId>	"104831031"	
	<wordnet_pitilessness_104831264>	<hasSynsetId>	"104831264"	
	<wordnet_relentlessness_104831437>	<hasSynsetId>	"104831437"	
	<wordnet_generosity_104831727>	<hasSynsetId>	"104831727"	
	<wordnet_charitableness_104832050>	<hasSynsetId>	"104832050"	
	<wordnet_bounty_104832244>	<hasSynsetId>	"104832244"	
	<wordnet_bigheartedness_104832401>	<hasSynsetId>	"104832401"	
	<wordnet_liberality_104832518>	<hasSynsetId>	"104832518"	
	<wordnet_munificence_104832716>	<hasSynsetId>	"104832716"	
	<wordnet_unselfishness_104832951>	<hasSynsetId>	"104832951"	
	<wordnet_altruism_104833276>	<hasSynsetId>	"104833276"	
	<wordnet_stinginess_104833458>	<hasSynsetId>	"104833458"	
	<wordnet_meanness_104833687>	<hasSynsetId>	"104833687"	
	<wordnet_pettiness_104834073>	<hasSynsetId>	"104834073"	
	<wordnet_miserliness_104834228>	<hasSynsetId>	"104834228"	
	<wordnet_penuriousness_104834339>	<hasSynsetId>	"104834339"	
	<wordnet_illiberality_104834457>	<hasSynsetId>	"104834457"	
	<wordnet_selfishness_104834605>	<hasSynsetId>	"104834605"	
	<wordnet_greediness_104834817>	<hasSynsetId>	"104834817"	
	<wordnet_egoism_104835028>	<hasSynsetId>	"104835028"	
	<wordnet_self-love_104835260>	<hasSynsetId>	"104835260"	
	<wordnet_opportunism_104835488>	<hasSynsetId>	"104835488"	
	<wordnet_drive_104835724>	<hasSynsetId>	"104835724"	
	<wordnet_action_104835950>	<hasSynsetId>	"104835950"	
	<wordnet_enterprise_104836074>	<hasSynsetId>	"104836074"	
	<wordnet_ambition_104836268>	<hasSynsetId>	"104836268"	
	<wordnet_aspiration_104836491>	<hasSynsetId>	"104836491"	
	<wordnet_power_hunger_104836583>	<hasSynsetId>	"104836583"	
	<wordnet_energy_104836683>	<hasSynsetId>	"104836683"	
	<wordnet_second_wind_104836960>	<hasSynsetId>	"104836960"	
	<wordnet_aggressiveness_104837232>	<hasSynsetId>	"104837232"	
	<wordnet_competitiveness_104837425>	<hasSynsetId>	"104837425"	
	<wordnet_combativeness_104837615>	<hasSynsetId>	"104837615"	
	<wordnet_scrappiness_104837814>	<hasSynsetId>	"104837814"	
	<wordnet_intrusiveness_104837931>	<hasSynsetId>	"104837931"	
	<wordnet_boldness_104838210>	<hasSynsetId>	"104838210"	
	<wordnet_audacity_104838510>	<hasSynsetId>	"104838510"	
	<wordnet_presumption_104838727>	<hasSynsetId>	"104838727"	
	<wordnet_uppityness_104839009>	<hasSynsetId>	"104839009"	
	<wordnet_fairness_104839154>	<hasSynsetId>	"104839154"	
	<wordnet_non-discrimination_104839445>	<hasSynsetId>	"104839445"	
	<wordnet_sportsmanship_104839555>	<hasSynsetId>	"104839555"	
	<wordnet_unfairness_104839676>	<hasSynsetId>	"104839676"	
	<wordnet_gamesmanship_104839877>	<hasSynsetId>	"104839877"	
	<wordnet_kindness_104840011>	<hasSynsetId>	"104840011"	
	<wordnet_benevolence_104840285>	<hasSynsetId>	"104840285"	
	<wordnet_charity_104840405>	<hasSynsetId>	"104840405"	
	<wordnet_beneficence_104840537>	<hasSynsetId>	"104840537"	
	<wordnet_grace_104840715>	<hasSynsetId>	"104840715"	
	<wordnet_benignity_104840981>	<hasSynsetId>	"104840981"	
	<wordnet_loving-kindness_104841245>	<hasSynsetId>	"104841245"	
	<wordnet_consideration_104841358>	<hasSynsetId>	"104841358"	
	<wordnet_kindliness_104841664>	<hasSynsetId>	"104841664"	
	<wordnet_tact_104841810>	<hasSynsetId>	"104841810"	
	<wordnet_delicacy_104842029>	<hasSynsetId>	"104842029"	
	<wordnet_savoir-faire_104842232>	<hasSynsetId>	"104842232"	
	<wordnet_malevolence_104842313>	<hasSynsetId>	"104842313"	
	<wordnet_cattiness_104842515>	<hasSynsetId>	"104842515"	
	<wordnet_malignity_104842788>	<hasSynsetId>	"104842788"	
	<wordnet_sensitivity_104842993>	<hasSynsetId>	"104842993"	
	<wordnet_antenna_104843270>	<hasSynsetId>	"104843270"	
	<wordnet_defensiveness_104843429>	<hasSynsetId>	"104843429"	
	<wordnet_bunker_mentality_104843675>	<hasSynsetId>	"104843675"	
	<wordnet_perceptiveness_104843875>	<hasSynsetId>	"104843875"	
	<wordnet_insensitivity_104844024>	<hasSynsetId>	"104844024"	
	<wordnet_crassness_104844343>	<hasSynsetId>	"104844343"	
	<wordnet_tin_ear_104844478>	<hasSynsetId>	"104844478"	
	<wordnet_unfeelingness_104844625>	<hasSynsetId>	"104844625"	
	<wordnet_dullness_104844891>	<hasSynsetId>	"104844891"	
	<wordnet_unperceptiveness_104845146>	<hasSynsetId>	"104845146"	
	<wordnet_unkindness_104845312>	<hasSynsetId>	"104845312"	
	<wordnet_cruelty_104845475>	<hasSynsetId>	"104845475"	
	<wordnet_beastliness_104845684>	<hasSynsetId>	"104845684"	
	<wordnet_unhelpfulness_104845863>	<hasSynsetId>	"104845863"	
	<wordnet_inconsideration_104845967>	<hasSynsetId>	"104845967"	
	<wordnet_tactlessness_104846243>	<hasSynsetId>	"104846243"	
	<wordnet_bluntness_104846383>	<hasSynsetId>	"104846383"	
	<wordnet_maleficence_104846533>	<hasSynsetId>	"104846533"	
	<wordnet_morality_104846770>	<hasSynsetId>	"104846770"	
	<wordnet_rightness_104847133>	<hasSynsetId>	"104847133"	
	<wordnet_virtue_104847298>	<hasSynsetId>	"104847298"	
	<wordnet_virtue_104847482>	<hasSynsetId>	"104847482"	
	<wordnet_cardinal_virtue_104847600>	<hasSynsetId>	"104847600"	
	<wordnet_natural_virtue_104847733>	<hasSynsetId>	"104847733"	
	<wordnet_theological_virtue_104847991>	<hasSynsetId>	"104847991"	
	<wordnet_hope_104848262>	<hasSynsetId>	"104848262"	
	<wordnet_saintliness_104848383>	<hasSynsetId>	"104848383"	
	<wordnet_conscience_104848492>	<hasSynsetId>	"104848492"	
	<wordnet_conscientiousness_104848686>	<hasSynsetId>	"104848686"	
